FAQID,Question,Answer,Category,SubCategory,Keywords,Tags,Priority,CreatedDate,UpdatedDate,Status
d4689245-f955-4d58-ab6d-54cf23969ca3,How do I reset my password?,Go to settings.company.com > Security > Reset Password and verify your identity via Multi-Factor Authentication (MFA).,IT Support,Password & Login,"password, login, reset, credentials, mfa",#it;#login;#security,High,2025-07-25 22:23:12,2025-09-11 22:23:12,Published
91b70f3a-be58-4cad-80f5-da1f0f24c8e0,How do I connect to VPN?,"Open GlobalProtect VPN on your laptop, enter the portal address 'vpn.company.com', and authenticate using your Microsoft Authenticator MFA.",IT Support,VPN & Network,"vpn, network, remote, access, connect",#it;#network;#remote,High,2025-06-17 22:23:12,2025-07-09 22:23:12,Published
5c6a6682-d6cb-45a0-bf46-7a64ab07c9b1,Where do I submit expense reports?,Log into SAP Concur at concur.company.com and submit your expense report with receipts attached. Make sure to specify the correct cost center.,Finance & Expenses,Expense Filing,"expense, concur, money, reimbursement, receipt",#finance;#expense;#concur,Medium,2025-12-03 22:23:12,2026-01-14 22:23:12,Published
c03f802d-c70d-4696-95e0-42aa2ca7df84,How do I request maternity or paternity leave?,Request leaves of absence in Workday under 'Time Off > Leave of Absence'. Contact HR Benefits at benefits@company.com to discuss paid options.,HR & Policies,PTO & Leaves,"maternity, paternity, baby, leave, pto, workday",#hr;#pto;#leave,High,2025-04-28 22:23:12,2025-06-19 22:23:12,Published
c635d0ea-07fa-4f26-b9c8-012c81093353,Guide to connect to corporate VPN network on my ThinkPad?,"To access the corporate VPN network, open your network preferences, select the correct client, and input your corporate credentials. Ensure your local internet is active. For VPN, use vpn.company.com.",IT Support,VPN & Network,"network, wifi, april, thinkpad, connect, workday",#it;#network;#remote,High,2025-11-10 22:23:12,2025-11-10 22:23:12,Published
f25c94b7-6a41-4967-9322-d274298ab744,What is the policy for reserving a collaborative meeting space via Outlook calendar?,"Conference rooms can be booked in Outlook by adding the room as a location. For AV issues with collaborative meeting space, tap the support button on the wall panel or contact av.support@company.com.",Facilities & Workspace,Conference Rooms,"office 365, booking, meeting, conference, outlook, san francisco",#facilities;#meeting;#booking,High,2026-04-23 22:23:12,2026-04-23 22:23:12,Published
0b7a461a-f562-4a59-860a-570be8a4c861,What is the policy for reserving a large boardroom via Outlook calendar?,"Conference rooms can be booked in Outlook by adding the room as a location. For AV issues with large boardroom, tap the support button on the wall panel or contact av.support@company.com.",Facilities & Workspace,Conference Rooms,"iphone, outlook, teams, room, adobe creative cloud, booking",#facilities;#meeting;#booking,High,2026-05-05 22:23:12,2026-06-01 22:23:12,Published
d1fa86a6-8cd7-4448-9251-3b943aa37a8a,How do I request a parking garage access transponder valid through 2025?,Security and badge access for parking garage access transponder is coordinated by the Facilities and Security Team. Visit the security desk or email badge.admin@company.com with manager authorization.,Facilities & Workspace,Office Access,"office, access, badge, visitor, sharepoint, windows laptop",#facilities;#access;#security,Medium,2026-02-17 22:23:12,2026-03-14 22:23:12,Published
a040556d-d1e0-4557-b885-13eb2d7517a7,Troubleshoot access to a archive folder in Outlook in the Toronto office?,"For configurations involving your archive folder in Outlook, submit a ticket to the Email Services Team at support.company.com. Shared mailboxes and delegations require manager approval.",IT Support,Email & Calendar,"mailbox, thinkpad, outlook, finance, shared, toronto",#it;#email;#outlook,Low,2025-12-11 22:23:12,2025-12-11 22:23:12,Published
777a0ddb-6e1f-4322-a7ab-90b90bed384a,What is the policy for reserving a large boardroom for January team meetings?,"Conference rooms can be booked in Outlook by adding the room as a location. For AV issues with large boardroom, tap the support button on the wall panel or contact av.support@company.com.",Facilities & Workspace,Conference Rooms,"january, outlook, room, ipad, finance, conference",#facilities;#meeting;#booking,High,2026-04-18 22:23:12,2026-04-18 22:23:12,Published
993937cf-5426-4f95-b3ce-969da8106e5d,Can I set up a shared mailbox for GitHub on Outlook for iPad?,"For configurations involving your mailbox for GitHub, submit a ticket to the Email Services Team at support.company.com. Shared mailboxes and delegations require manager approval.",IT Support,Email & Calendar,"email, shared, calendar, permissions, new york, mailbox",#it;#email;#outlook,High,2025-04-27 22:23:12,2025-04-27 22:23:12,Published
a31d136c-0e1e-430d-b683-4c20271d0947,Steps to request access to the parking garage access transponder valid through 2024?,Security and badge access for parking garage access transponder is coordinated by the Facilities and Security Team. Visit the security desk or email badge.admin@company.com with manager authorization.,Facilities & Workspace,Office Access,"human resources, microsoft teams, office, toronto, iphone, visitor",#facilities;#access;#security,Low,2025-07-06 22:23:12,2025-07-20 22:23:12,Published
